publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p961242,earthquake,2019-12-22T15:50:02.200Z,2019-12-22T16:53:21.579Z,174.9600525,-35.7897644,2.235254742,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,6,0.5211715102,202.1774597,0.5964209213,0
2019p946255,earthquake,2019-12-17T02:45:06.146Z,2019-12-17T02:47:22.945Z,174.9285583,-35.82390976,2.696035589,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,9,0.4875008762,196.2865906,0.6410161804,0
2019p932884,quarry blast,2019-12-12T04:00:38.000Z,2019-12-12T04:11:40.698Z,175.0183,-36.9622,1.149222471,0,M,,,confirmed,manual,,0,0,6,0,0,2.572348715,0
2019p911309,quarry blast,2019-12-04T04:25:31.865Z,2019-12-04T04:33:51.772Z,175.0141754,-36.97805023,0.9439572554,0,M,,LOCSAT,confirmed,manual,iasp91,10,10,5,0.07339601964,101.0180817,0.3870152766,0
2019p900316,earthquake,2019-11-30T02:48:33.436Z,2019-11-30T02:53:48.000Z,174.9979401,-36.64459991,1.160204,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,11,7,0.1403963864,115.0858154,0.258685327,0
2019p894764,earthquake,2019-11-28T01:30:25.041Z,2019-11-28T01:33:32.046Z,175.9771423,-37.31523895,2.448314005,258.0427856,M,,LOCSAT,confirmed,manual,iasp91,20,12,7,1.301898599,276.9622879,0.3170046988,0
2019p870718,quarry blast,2019-11-19T03:58:41.000Z,2019-11-19T04:02:38.147Z,175.06,-37.61,2.019213283,0,M,,,confirmed,manual,,0,0,6,0,0,0.9960586438,0
2019p849680,earthquake,2019-11-11T09:09:44.900Z,2019-11-11T09:23:20.965Z,175.6717072,-37.70608139,1.980218273,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,12,7,0.1369710565,87.11303902,0.3229457977,0
2019p849100,quarry blast,2019-11-11T04:00:45.000Z,2019-11-11T04:08:46.328Z,175.06,-37.06,1.308351725,0,M,,,confirmed,manual,,0,0,7,0,0,1.607352607,0
2019p845960,earthquake,2019-11-10T00:07:38.507Z,2019-11-27T03:14:53.085Z,175.7149506,-36.41999817,2.578417743,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,13,9,0.2680135369,230.0187988,0.3214418642,0
2019p793251,earthquake,2019-10-21T12:04:25.644Z,2019-10-21T12:07:06.010Z,175.6681976,-37.70814133,1.877853765,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,6,0.1338680685,90.17328262,0.3411299296,0
2019p784227,earthquake,2019-10-18T03:59:48.555Z,2019-11-11T22:12:31.850Z,174.9917908,-36.95293427,1.134104554,4.436497688,M,,LOCSAT,confirmed,manual,iasp91,11,8,5,0.0512672551,110.1613922,0.4613338812,0
2019p744118,earthquake,2019-10-03T07:46:16.110Z,2019-10-31T02:05:26.207Z,175.0195923,-35.79643631,3.18980595,5.042007923,M,,LOCSAT,confirmed,manual,iasp91,18,13,10,0.5659667253,206.067749,0.3559788541,0
2019p731546,earthquake,2019-09-28T16:07:51.297Z,2019-10-23T01:39:57.607Z,175.0054932,-35.80393982,2.819791561,9.922416687,M,,LOCSAT,confirmed,manual,iasp91,28,18,12,0.552996397,204.1905975,0.5884991133,0
